deprivation,prior_count,density,group,target
-1.724,0,0.122,A,0
-0.614,3,-0.234,A,1
0.751,1,0.661,A,0
-0.144,2,0.179,A,0
0.055,1,-0.758,A,0
0.913,2,1.099,A,1
-0.108,2,1.065,A,0
0.384,3,0.013,A,0
-1.081,2,-0.558,A,0
0.352,4,-0.771,B,1
-1.339,0,1.673,B,0
-1.297,0,-0.184,B,0
-0.503,0,0.146,A,0
0.549,5,0.422,A,0
0.052,1,-2.762,B,0
-0.789,1,-0.916,A,0
0.877,3,2.202,A,0
0.319,2,-2.797,A,0
1.045,4,-1.496,B,1
-0.891,0,-0.45,A,0
1.434,1,-0.992,A,0
1.582,6,-0.751,A,0
0.912,0,-1.155,A,0
0.488,5,-0.172,B,0
0.496,1,0.357,A,1
0.331,1,0.401,B,1
-1.373,0,-0.822,B,0
-0.599,0,0.973,A,0
-0.104,2,0.143,A,0
-1.03,1,1.071,A,0
1.435,2,0.288,B,1
0.5,6,-0.262,A,0
1.782,1,-0.237,A,0
0.79,1,0.352,A,0
-1.397,1,1.262,A,0
1.307,3,0.125,A,0
-0.451,3,0.209,A,0
1.365,4,0.565,A,0
1.508,5,-1.775,B,0
1.352,3,-1.43,A,0
1.073,2,0.218,B,1
0.433,1,-0.956,A,1
-0.01,2,-0.264,A,0
1.885,4,-0.013,A,0
0.272,2,2.413,A,0
-0.385,1,-0.177,A,0
0.442,3,-2.114,B,0
1.149,4,0.204,A,1
1.112,1,1.017,B,0
-1.086,3,0.532,A,0
1.08,4,0.465,B,1
0.689,3,-0.737,A,0
-0.345,2,-0.42,B,0
-0.824,0,-0.849,B,0
1.43,2,-0.735,B,1
1.529,6,-0.208,B,0
1.57,7,0.92,A,1
-1.308,2,2.881,A,0
-0.21,2,0.147,A,0
0.057,5,0.54,B,0
1.502,4,-2.412,A,0
0.808,2,-0.44,A,0
-0.224,2,1.532,A,1
0.162,2,0.094,A,0
0.714,4,-0.105,A,0
0.748,7,2.901,B,1
1.681,4,1.19,A,0
1.457,8,0.772,A,1
1.247,1,-0.064,B,0
-0.764,0,0.272,A,0
-0.703,1,2.138,B,0
-0.991,2,2.232,A,0
0.423,6,-0.537,A,0
-0.47,2,-1.624,B,0
0.596,1,0.049,A,0
0.74,4,0.764,B,1
0.246,4,1.806,A,1
0.907,2,-0.105,B,0
-0.616,1,-0.349,A,0
-1.448,1,1.112,A,0
-0.676,4,-0.923,A,1
0.868,3,-0.237,B,0
1.871,7,0.005,A,1
1.511,2,-0.072,B,1
-0.167,1,1.279,B,0
0.994,4,0.536,B,0
-1.352,0,-0.54,B,0
1.584,3,-0.235,A,0
0.563,1,2.798,A,0
0.83,0,-1.444,A,0
-1.872,0,-1.879,B,0
0.505,0,-1.241,A,0
1.888,3,0.304,B,0
0.341,2,1.137,A,0
-0.045,3,-0.115,A,0
-0.208,2,-0.564,B,0
-0.673,0,-0.735,A,0
0.138,3,-1.733,A,1
-1.168,1,1.599,A,0
0.5,2,-0.203,A,0
1.16,3,0.223,A,0
-0.38,0,0.853,A,0
0.434,0,1.387,B,0
-0.014,0,-0.226,A,0
0.445,3,-0.912,A,0
0.96,2,-0.022,B,0
0.465,3,-0.132,B,0
0.91,3,-0.558,A,0
0.572,2,-1.262,B,1
0.913,2,0.389,A,1
0.366,5,1.325,A,1
0.381,3,1.752,A,0
0.742,3,-0.756,A,0
-0.022,1,1.759,B,0
0.5,2,-1.101,B,1
-0.841,3,0.149,B,0
-1.763,3,1.046,B,0
0.142,3,0.553,A,0
-0.749,1,1.412,A,0
1.98,5,-1.025,A,1
-0.752,1,-0.183,A,0
0.811,6,-0.203,A,0
-0.665,0,1.139,A,0
0.021,3,-0.231,B,0
-1.072,0,0.234,A,0
-1.165,1,-0.258,B,0
0.33,2,0.362,A,0
-0.353,1,-0.751,B,0
0.786,2,-1.119,A,0
1.291,3,-0.499,B,1
-1.551,1,-0.918,A,0
1.093,3,-0.203,A,1
-0.961,1,0.782,B,0
-0.333,4,-1.338,A,0
-1.402,1,-0.414,A,0
-1.372,1,2.17,A,0
-1.945,0,-1.795,A,0
-0.404,3,-1.117,A,0
0.061,3,0.302,A,0
-0.371,0,-1.604,A,0
-1.791,1,-0.131,A,0
-1.957,1,1.673,A,0
0.01,0,-0.626,B,0
0.789,2,-0.896,B,0
0.248,0,-1.628,A,0
1.868,6,-0.881,B,1
-0.038,6,-0.24,B,0
0.315,1,2.135,B,1
-0.021,5,-0.187,B,0
-0.782,1,-0.139,A,0
-0.164,2,-0.049,B,0
0.839,1,-0.873,A,1
0.878,4,-2.36,A,0
0.358,3,1.443,A,0
1.582,5,0.604,A,0
0.457,4,1.11,B,0
0.327,3,0.235,B,0
1.502,6,1.159,B,0
-0.715,1,-1.543,B,0
1.428,1,0.051,A,0
-0.974,1,0.516,B,0
-0.266,0,1.318,A,1
-1.836,1,0.416,A,0
0.251,2,0.417,A,0
1.326,3,0.226,B,0
-0.938,1,-1.478,A,0
-0.283,1,-0.594,B,0
-0.222,1,-0.505,A,0
-0.215,2,0.833,A,0
-1.048,3,0.514,B,1
0.038,0,1.506,B,1
1.57,5,0.488,B,1
-0.501,2,-0.213,A,0
0.23,1,1.283,A,0
0.222,0,-1.244,A,1
-0.396,1,-0.291,A,0
0.278,2,-0.947,A,0
-0.381,1,-1.121,A,1
0.418,1,-1.087,A,0
-0.071,3,-0.661,B,0
-1.406,2,0.19,A,0
-1.799,0,-0.351,A,0
-2.138,0,0.26,A,0
-0.41,3,0.221,A,0
0.831,2,-2.337,A,1
-0.73,0,0.155,B,0
-0.247,2,-0.75,A,0
-0.654,2,-1.643,B,0
-0.835,0,0.226,A,0
2.203,6,0.064,B,1
-0.798,2,0.147,A,0
-1.352,2,0.693,A,0
-0.895,1,-0.681,A,0
0.075,2,-0.992,A,0
-0.573,1,-0.041,A,0
0.286,3,-0.462,A,0
-0.73,2,2.699,A,0
-0.588,2,-0.159,A,0
-0.707,1,-0.032,A,0
-0.091,2,-0.915,B,0
0.714,2,-1.083,B,0
0.819,6,-1.718,B,1
1.408,7,-0.39,B,1
-1.313,1,-0.273,A,0
-1.04,2,1.027,A,0
-0.919,3,-0.325,A,0
-0.003,4,-0.483,B,0
-1.077,0,0.155,B,0
-0.689,0,-0.194,B,0
0.684,2,0.866,A,1
1.07,0,1.342,A,0
0.693,1,-0.134,A,0
0.321,1,-1.071,A,0
-0.663,2,-0.246,A,0
0.021,2,0.111,B,0
1.141,2,-1.45,B,0
0.662,5,-0.393,A,0
0.885,5,-1.6,B,0
0.951,5,0.316,A,0
-0.328,2,-1.209,A,0
0.634,1,-0.426,B,1
-0.38,0,-0.255,B,0
0.595,4,-1.388,B,0
1.227,1,-0.056,A,0
1.554,3,-1.179,A,0
0.595,4,1.389,B,0
0.394,2,1.237,A,0
1.388,2,1.083,B,0
-0.865,3,0.056,A,0
1.446,4,0.248,A,0
0.131,1,-0.267,B,0
0.138,3,0.446,A,0
-0.451,3,1.547,B,0
-1.173,1,-1.069,A,0
1.472,5,0.351,B,1
0.404,3,-1.802,B,0
-0.369,0,-0.502,B,0
0.35,3,-0.152,A,0
-0.337,0,0.228,A,0
-1.705,0,0.587,B,0
-0.178,2,1.22,B,0
-1.407,0,-1.49,B,0
0.238,0,0.78,A,1
1.586,5,1.715,B,1
-0.641,1,-0.463,A,0
0.791,4,-0.588,A,0
-0.64,0,0.12,B,1
-0.02,0,-0.151,B,0
-0.878,1,-0.218,A,0
0.619,3,1.435,A,0
1.346,6,2.377,A,0
0.192,2,-0.325,B,1
0.536,1,2.312,A,0
0.534,3,-0.356,A,0
-0.249,2,0.757,A,0
1.307,3,-1.046,B,1
-0.518,1,-0.883,A,0
-1.572,1,-0.325,A,0
-0.921,4,0.831,A,0
0.616,1,0.208,B,0
-0.387,0,-1.645,A,0
0.093,1,-1.333,A,0
-0.239,1,-1.728,B,0
0.181,0,0.317,A,0
1.093,2,0.147,A,0
1.526,7,0.128,B,1
-0.969,1,0.117,A,0
0.932,5,-0.759,A,0
0.197,1,0.168,A,0
-1.223,0,1.433,A,1
0.494,2,0.568,A,1
1.848,9,-1.171,B,1
-0.738,2,-0.336,A,0
-0.229,0,-0.629,B,0
-1.606,0,0.881,A,0
-0.117,0,-1.058,A,1
0.16,3,0.181,A,0
1.974,6,-0.344,B,0
-0.934,3,-0.779,A,0
0.964,4,0.207,A,1
0.301,5,-0.222,A,0
2.234,5,0.744,A,1
0.175,1,-0.489,B,0
-0.051,1,-1.183,A,0
0.847,0,-0.207,A,0
0.489,2,0.25,B,1
0.936,5,0.61,A,0
0.561,4,-0.186,A,0
-1.475,0,0.843,A,0
0.522,1,-1.341,B,0
0.499,3,0.98,A,1
-0.74,0,0.569,B,0
0.29,3,-0.443,A,0
-1.836,0,1.048,A,0
0.255,3,0.311,B,1
0.685,3,1.277,B,0
0.96,2,-0.777,A,0
0.701,1,-0.683,B,0
-0.886,1,0.55,B,0
-1.465,0,0.067,A,0
0.941,6,-1.44,A,1
0.405,5,1.87,A,0
0.493,3,1.752,A,0
1.681,2,0.191,A,0
-1.607,0,-0.687,B,0
1.803,6,-0.664,A,0
-0.562,1,0.387,B,0
0.825,2,1.437,B,0
-0.013,0,2.645,A,0
-0.346,1,-0.301,B,0
-1.509,0,-0.356,A,0
-0.672,1,-0.165,A,0
0.467,3,0.409,A,0
0.355,3,-0.855,A,0
0.952,4,-1.363,B,0
-0.692,1,-0.233,A,0
0.747,1,0.31,A,0
0.066,4,1.714,A,0
0.633,2,-1.079,A,1
0.513,6,1.129,A,0
-0.471,1,-0.102,B,0
0.252,6,-0.244,B,0
0.461,3,-1.552,A,1
0.786,4,0.392,B,0
1.505,4,0.275,A,0
-0.634,1,2.268,B,0
-1.166,0,-0.258,A,0
1.287,4,1.554,A,0
-1.286,1,-0.305,B,0
1.034,2,-0.342,B,1
-0.909,1,-1.68,A,0
-0.63,0,1.15,A,0
-0.079,1,0.138,A,0
-1.451,2,-0.005,B,0
-0.97,2,-0.29,A,0
-1.673,1,0.235,A,0
0.669,2,-0.711,A,0
-0.012,1,0.45,B,0
0.014,2,-0.955,A,0
-0.061,1,-0.134,A,0
-0.018,0,0.497,A,0
-0.482,2,1.408,B,0
0.956,4,0.21,A,0
-1.763,0,1.297,A,0
-1.443,1,-0.013,B,0
1.358,3,-0.935,A,1
0.267,2,2.082,B,0
-2.025,0,-0.116,B,0
0.319,1,0.947,B,0
-1.59,1,-0.621,A,0
1.3,5,0.521,A,1
0.92,3,0.345,A,0
2.097,6,-0.0,A,0
-0.299,0,2.029,A,0
-1.217,1,0.429,B,0
-0.541,2,-0.371,B,0
-0.518,1,1.574,B,0
0.386,3,-1.811,A,0
-1.832,0,-1.458,A,0
-0.005,1,0.88,B,0
-1.014,3,0.227,A,0
-0.513,2,-0.546,B,0
1.383,1,0.392,A,1
1.003,0,1.066,A,0
0.73,2,-1.057,A,1
0.636,3,-0.088,B,0
-0.264,2,0.038,A,0
-0.048,4,0.306,A,0
-1.573,1,0.644,B,0
-1.234,1,-1.968,A,0
0.127,3,0.536,A,0
-1.12,2,-1.909,B,1
0.69,0,-0.037,A,1
-0.05,1,-1.055,A,0
-0.298,3,0.197,A,1
-0.607,3,0.666,B,0
0.451,1,0.057,B,0
0.678,2,-0.653,B,1
-0.88,1,-1.316,B,0
-0.524,2,-0.037,B,0
-0.188,2,-0.407,A,0
0.321,3,0.336,A,0
0.308,0,-0.431,A,1
-0.102,3,1.402,A,1
0.708,1,0.047,B,1
-0.136,2,0.919,A,0
-1.397,0,-0.499,A,0
1.337,3,0.735,A,1
0.98,5,0.624,A,1
-1.377,0,-0.681,B,0
0.179,2,-1.497,A,0
1.301,4,1.268,B,0
-0.304,1,-0.42,A,0
0.772,3,-0.646,A,0
1.111,2,-0.3,A,0
0.268,3,-0.947,A,0
2.143,6,0.63,B,0
0.65,0,-0.009,B,0
0.102,2,0.052,A,0
-0.167,0,1.138,A,0
-0.047,1,0.1,B,1
-0.564,3,1.576,B,0
-1.113,1,-0.02,A,0
-0.899,2,-1.506,A,0
-0.142,4,-0.887,A,0
0.803,2,-0.727,A,0
0.327,3,0.113,A,0
0.169,3,1.522,B,0
2.12,5,0.189,B,1
1.683,7,-0.229,B,1
-0.913,3,-0.303,B,0
0.704,3,0.545,A,0
-1.187,3,0.415,B,0
0.268,0,0.798,B,0
-1.373,2,-0.704,B,0
-0.607,1,2.251,A,0
0.624,2,-0.345,B,0
-0.454,1,-0.635,A,0
-1.079,3,1.195,A,0
-0.688,0,0.903,A,0
-0.944,1,-0.644,A,1
0.412,1,0.678,A,0
1.203,5,-0.426,B,0
-0.197,1,0.419,A,0
1.03,3,0.235,A,0
-0.573,3,2.546,B,1
-0.101,2,1.39,B,0
1.784,6,1.067,B,1
-0.178,3,0.766,A,0
1.07,3,-1.253,A,0
